rank	q=0	q=1	q=2	
321	2	0	0
322	2	0	0
323	0	2	0
324	0	2	0
325	0	2	0
326	0	2	0
327	0	2	0
328	0	2	0
329	0	2	0
330	0	2	0
331	0	2	0
332	0	2	0
333	0	2	0
334	0	2	0
335	0	2	0
336	0	2	0
337	0	2	0
338	0	2	0
339	0	2	0
340	0	2	0
341	0	2	0
342	0	2	0
343	0	2	0
344	0	2	0
345	0	2	0
346	0	2	0
347	0	2	0
348	0	2	0
349	0	2	0
350	0	2	0
351	0	2	0
352	0	2	0
353	0	2	0
354	0	2	0
355	0	2	0
356	0	2	0
357	0	2	0
358	0	2	0
359	0	2	0
360	0	2	0
361	0	2	0
362	0	2	0
363	0	2	0
364	0	2	0
365	0	2	0
366	0	2	0
367	0	2	0
368	0	2	0
369	0	2	0
370	0	2	0
371	0	2	0
372	0	2	0
373	0	2	0
374	0	2	0
375	0	2	0
376	0	2	0
377	0	2	0
378	0	2	0
379	0	2	0
380	0	2	0
381	0	2	0
382	0	2	0
383	0	2	0
384	0	2	0
385	0	2	0
386	0	2	0
387	0	2	0
388	0	2	0
389	0	2	0
390	0	2	0
391	0	2	0
392	0	2	0
393	0	2	0
394	0	2	0
395	0	2	0
396	0	2	0
397	0	2	0
398	0	2	0
399	0	2	0
400	0	2	0
401	0	2	0
402	0	2	0
403	0	2	0
404	0	2	0
405	0	2	0
406	0	2	0
407	0	2	0
408	0	2	0
409	0	2	0
410	0	2	0
411	0	2	0
412	0	2	0
413	0	2	0
414	0	2	0
415	0	2	0
416	0	2	0
417	0	2	0
418	0	2	0
419	0	2	0
420	0	2	0
421	0	2	0
422	0	2	0
423	0	2	0
424	0	2	0
425	0	2	0
426	0	2	0
427	0	2	0
428	0	2	0
429	0	2	0
430	0	2	0
431	0	2	0
432	0	2	0
433	0	2	0
434	0	2	0
435	0	2	0
436	0	2	0
437	0	2	0
438	0	2	0
439	0	2	0
440	0	2	0
441	0	2	0
442	0	2	0
443	0	2	0
444	0	2	0
445	0	2	0
446	0	2	0
447	0	2	0
448	0	2	0
449	0	2	0
450	0	2	0
451	0	2	0
452	0	2	0
453	0	2	0
454	0	2	0
455	0	2	0
456	0	2	0
457	0	2	0
458	0	2	0
459	0	2	0
460	0	2	0
461	0	2	0
462	0	2	0
463	0	2	0
464	0	2	0
465	0	2	0
466	0	2	0
467	0	2	0
468	0	2	0
469	0	2	0
470	0	2	0
471	0	2	0
472	0	2	0
473	0	2	0
474	0	2	0
475	0	2	0
476	0	2	0
477	0	2	0
478	0	2	0
479	0	2	0
480	0	2	0
481	0	2	0
482	0	2	0
483	0	2	0
484	0	2	0
485	0	2	0
486	0	2	0
487	0	2	0
488	0	2	0
489	0	2	0
490	0	2	0
491	0	2	0
492	0	2	0
493	0	2	0
494	0	2	0
495	0	2	0
496	0	2	0
497	0	2	0
498	0	2	0
499	0	2	0
500	0	2	0
501	0	2	0
502	0	2	0
503	0	2	0
504	0	2	0
505	0	2	0
506	0	2	0
507	0	2	0
508	0	2	0
509	0	2	0
510	0	2	0
511	0	2	0
512	0	2	0
513	0	2	0
514	0	2	0
515	0	2	0
516	0	2	0
517	0	2	0
518	0	2	0
519	0	2	0
520	0	2	0
521	0	2	0
522	0	2	0
523	0	2	0
524	0	2	0
525	0	2	0
526	0	2	0
527	0	2	0
528	0	2	0
529	0	2	0
530	0	2	0
531	0	2	0
532	0	2	0
533	0	2	0
534	0	2	0
535	0	1	0
536	0	1	0
537	0	1	0
538	0	1	0
539	0	1	0
540	0	1	0
541	0	1	0
542	0	1	0
543	0	1	0
544	0	1	0
545	0	1	0
546	0	1	0
547	0	1	0
548	0	1	0
549	0	1	0
550	0	1	0
551	0	1	0
552	0	1	0
553	0	1	0
554	0	1	0
555	0	1	0
556	0	1	0
557	0	1	0
558	0	1	0
559	0	1	0
560	0	1	0
561	0	1	0
562	0	1	0
563	0	1	0
564	0	1	0
565	0	1	0
566	0	1	0
567	0	1	0
568	0	1	0
569	0	1	0
570	0	1	0
571	0	1	0
572	0	1	0
573	0	1	0
574	0	1	0
575	0	1	0
576	0	1	0
577	0	1	0
578	0	1	0
579	0	1	0
580	0	1	0
581	0	1	0
582	0	1	0
583	0	1	0
584	0	1	0
585	0	1	0
586	0	1	0
587	0	1	0
588	0	1	0
589	0	1	0
590	0	1	0
591	0	1	0
592	0	1	0
593	0	1	0
594	0	1	0
595	0	1	0
596	0	1	0
597	0	1	0
598	0	1	0
599	0	1	0
600	0	1	0
601	0	1	0
602	0	1	0
603	0	1	0
604	0	1	0
605	0	1	0
606	0	1	0
607	0	1	0
608	0	1	0
609	0	1	0
610	0	1	0
611	0	1	0
612	0	1	0
613	0	1	0
614	0	1	0
615	0	1	0
616	0	1	0
617	0	1	0
618	0	1	0
619	0	1	0
620	0	1	0
621	0	1	0
622	0	1	0
623	0	1	0
624	0	1	0
625	0	1	0
626	0	1	0
627	0	1	0
628	0	1	0
629	0	1	0
630	0	1	0
631	0	1	0
632	0	1	0
633	0	1	0
634	0	1	0
635	0	1	0
636	0	1	0
637	0	1	0
638	0	1	0
639	0	1	0
640	0	1	0
641	0	1	0
642	0	1	0
643	0	1	0
644	0	1	0
645	0	1	0
646	0	1	0
647	0	1	0
648	0	1	0
649	0	1	0
650	0	1	0
651	0	1	0
652	0	1	0
653	0	1	0
654	0	1	0
655	0	1	0
656	0	1	0
657	0	1	0
658	0	1	0
659	0	1	0
660	0	1	0
661	0	1	0
662	0	1	0
663	0	1	0
664	0	1	0
665	0	1	0
666	0	1	0
667	0	1	0
668	1	0	0
669	1	0	0
670	1	0	0
671	1	0	0
672	1	0	0
673	1	0	0
674	1	0	0
675	1	0	0
676	1	0	0
677	1	0	0
678	1	0	0
679	1	0	0
680	1	0	0
681	1	0	0
682	1	0	0
683	1	0	0
684	1	0	0
685	1	0	0
686	1	0	0
687	1	0	0
688	1	0	0
689	1	0	0
690	1	0	0
691	1	0	0
692	1	0	0
693	1	0	0
694	1	0	0
695	1	0	0
696	1	0	0
697	1	0	0
698	1	0	0
699	1	0	0
700	1	0	0
701	1	0	0
702	1	0	0
703	1	0	0
704	1	0	0
705	1	0	0
706	1	0	0
707	1	0	0
708	1	0	0
709	1	0	0
710	1	0	0
711	1	0	0
712	1	0	0
713	1	0	0
714	1	0	0
715	1	0	0
716	1	0	0
717	1	0	0
718	1	0	0
719	1	0	0
720	1	0	0
721	1	0	0
722	1	0	0
723	1	0	0
724	1	0	0
725	1	0	0
726	1	0	0
727	1	0	0
728	1	0	0
729	1	0	0
730	1	0	0
731	1	0	0
732	1	0	0
733	1	0	0
734	1	0	0
735	1	0	0
736	1	0	0
737	1	0	0
738	1	0	0
739	1	0	0
740	1	0	0
741	1	0	0
742	1	0	0
743	1	0	0
744	1	0	0
745	1	0	0
746	1	0	0
747	1	0	0
748	1	0	0
749	1	0	0
750	1	0	0
751	1	0	0
752	1	0	0
753	1	0	0
754	1	0	0
755	1	0	0
756	1	0	0
757	1	0	0
758	1	0	0
759	1	0	0
760	1	0	0
761	1	0	0
762	1	0	0
763	1	0	0
764	1	0	0
765	1	0	0
766	1	0	0
767	1	0	0
768	1	0	0
769	1	0	0
770	1	0	0
771	1	0	0
772	1	0	0
773	1	0	0
774	1	0	0
775	1	0	0
776	1	0	0
777	1	0	0
778	1	0	0
779	1	0	0
780	1	0	0
781	1	0	0
782	1	0	0
783	1	0	0
784	1	0	0
785	1	0	0
786	1	0	0
787	1	0	0
788	1	0	0
789	1	0	0
790	1	0	0
791	1	0	0
792	1	0	0
793	1	0	0
794	1	0	0
795	1	0	0
796	1	0	0
797	1	0	0
798	1	0	0
799	1	0	0
800	1	0	0
801	1	0	0
802	1	0	0
803	1	0	0
804	1	0	0
805	1	0	0
806	1	0	0
807	1	0	0
808	1	0	0
809	1	0	0
810	1	0	0
811	1	0	0
812	1	0	0
813	1	0	0
814	1	0	0
815	1	0	0
816	1	0	0
817	1	0	0
818	1	0	0
819	1	0	0
820	1	0	0
821	1	0	0
822	1	0	0
823	1	0	0
824	1	0	0
825	1	0	0
826	1	0	0
827	1	0	0
828	1	0	0
829	1	0	0
830	1	0	0
831	1	0	0
832	1	0	0
833	1	0	0
834	1	0	0
835	1	0	0
836	1	0	0
837	1	0	0
838	1	0	0
839	1	0	0
840	1	0	0
841	1	0	0
842	1	0	0
843	1	0	0
844	1	0	0
845	1	0	0
846	1	0	0
847	0	1	0
848	0	1	0
849	0	1	0
850	0	1	0
851	0	1	0
852	0	1	0
853	0	1	0
854	1	0	0
855	1	0	0
856	1	0	0
857	1	0	0
858	1	0	0
859	0	1	0
860	1	0	0
861	1	0	0
862	1	0	0
863	1	0	0
864	1	0	0
865	1	0	0
866	1	0	0
867	1	0	0
868	1	0	0
869	1	0	0
870	1	0	0
871	1	0	0
872	1	0	0
873	1	0	0
874	1	0	0
875	1	0	0
876	1	0	0
877	1	0	0
878	1	0	0
879	1	0	0
880	1	0	0
881	1	0	0
882	1	0	0
883	1	0	0
884	1	0	0
885	1	0	0
886	1	0	0
887	1	0	0
888	1	0	0
889	1	0	0
890	1	0	0
891	1	0	0
892	1	0	0
893	1	0	0
894	1	0	0
895	1	0	0
896	1	0	0
897	1	0	0
898	1	0	0
899	1	0	0
900	1	0	0
901	1	0	0
902	1	0	0
903	1	0	0
904	1	0	0
905	1	0	0
906	1	0	0
907	1	0	0
908	1	0	0
909	1	0	0
910	1	0	0
911	1	0	0
912	1	0	0
913	1	0	0
914	1	0	0
915	1	0	0
916	1	0	0
917	1	0	0
918	1	0	0
919	1	0	0
920	1	0	0
921	1	0	0
922	1	0	0
923	1	0	0
924	1	0	0
925	1	0	0
926	1	0	0
927	1	0	0
928	1	0	0
929	1	0	0
930	1	0	0
931	1	0	0
932	1	0	0
933	1	0	0
934	1	0	0
935	1	0	0
936	1	0	0
937	1	0	0
938	1	0	0
939	1	0	0
940	1	0	0
941	1	0	0
942	1	0	0
943	1	0	0
944	0	1	0
945	1	0	0
946	1	0	0
947	1	0	0
948	1	0	0
949	1	0	0
950	1	0	0
951	1	0	0
952	1	0	0
953	1	0	0
954	1	0	0
955	1	0	0
956	1	0	0
957	1	0	0
958	1	0	0
959	1	0	0
960	1	0	0
961	1	0	0
962	1	0	0
963	1	0	0
964	1	0	0
965	1	0	0
966	1	0	0
967	1	0	0
968	1	0	0
969	1	0	0
970	1	0	0
971	1	0	0
972	1	0	0
973	1	0	0
974	1	0	0
975	1	0	0
976	1	0	0
977	1	0	0
978	1	0	0
979	1	0	0
980	1	0	0
981	1	0	0
982	1	0	0
983	1	0	0
984	1	0	0
985	1	0	0
986	1	0	0
987	1	0	0
988	1	0	0
989	1	0	0
990	1	0	0
991	1	0	0
992	1	0	0
993	1	0	0
994	1	0	0
995	1	0	0
996	1	0	0
997	1	0	0
998	1	0	0
999	1	0	0
1000	0	1	0
